Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
10/22/2011,9.7,1.89,30.5,0,25.1,33.861,2.57
10/21/2011,9.35,2,34,0,27.7,33.95,2.25
10/20/2011,9.12,2.31,44.3,0.01,33.2,34.04,2.01
10/17/2011,9,2.7,57,0.09,39.3,34.15,1.54
10/16/2011,8.91,2.68,57.8,0.03,38.5,34.166,1.47
10/18/2011,8.89,2.67,58,0.01,38.3,34.17,1.45
10/19/2011,15.03,0.8,6,0.07,3.7,33.61,5.88
02/12/2012,12.97,0.98,10.6,0.14,8.3,33.609,5.1
02/11/2012,11.7,1.17,15,0.22,13.4,33.64,4.36
02/10/2012,11.6,1.23,15.8,0.24,14.2,33.643,4.3
02/08/2012,10.39,1.63,22.7,0.21,20.5,33.709,3.47
02/09/2012,10,1.69,25.3,0.1,22.1,33.796,3.08
02/07/2012,9.75,1.76,27.8,0.1,23,33.888,2.81
02/06/2012,9.74,1.76,28,0.11,23,33.9,2.8
02/03/2012,18.19,0.16,0,0,0,33.52,6.3
02/04/2012,15.44,0.38,3,0,0,33.47,6.13
02/05/2012,14.1,0.62,5,0.07,2,33.482,5.52
02/02/2012,10.61,1.41,19.1,0.09,19.9,33.664,3.74
02/01/2012,10.52,1.44,20,0.04,20.7,33.68,3.62
01/31/2012,10.3,1.58,23.2,0.01,23.5,33.723,3.24
01/28/2012,10.16,1.67,25.7,0,25.1,33.772,3.04
01/29/2012,9.98,1.74,28.1,0,26.5,33.822,2.88
01/30/2012,19.6,0.2,0,0,0.1,33.66,5.8
04/02/2012,19.61,0.16,0,0,0.1,33.66,5.81
04/03/2012,16.15,0.4,1.4,0.03,2.7,33.642,5.71
04/04/2012,10.19,1.54,21.9,0.03,23.1,33.678,3.5
04/06/2012,9.91,1.79,28.5,0,27.7,33.845,2.79
04/01/2012,9.85,1.85,30,0,28.5,33.93,2.64
03/31/2012,9.7,1.9,32.8,0,30,33.947,2.42
03/30/2012,9.51,1.98,35.7,0,31.3,33.973,2.21
03/29/2012,9.42,2.14,38.8,0,32.5,34.027,1.87
03/28/2012,16.39,0.32,2,0,0,33.54,4.89
03/25/2012,16.39,0.32,2,0,0,33.54,4.89
03/26/2012,15.64,0.47,4,0,1.3,33.55,4.91
03/27/2012,15.46,0.49,4.3,0.01,1.6,33.552,4.91
07/26/2012,13.62,0.73,6.9,0.15,5,33.572,4.81
07/25/2012,12.01,0.96,10,0.23,9.3,33.6,4.54
07/24/2012,10.8,1.31,16.9,0.1,17,33.672,3.75
07/22/2012,10.19,1.59,23.8,0,22.2,33.781,3.02
07/23/2012,10.05,1.63,26,0,23.1,33.85,2.72
07/21/2012,9.98,1.68,27.2,0,24.2,33.864,2.68
07/20/2012,9.81,1.83,29.9,0,26.9,33.901,2.58
07/19/2012,9.56,2.01,33.7,0,29.2,33.938,2.4
07/17/2012,9.2,2.06,37.7,0,31.2,34.014,2
07/18/2012,17.82,0.49,2,0,0,33.46,6.64
07/16/2012,17.82,0.49,2,0,0,33.46,6.64
07/15/2012,16.27,0.34,2,0,0,33.46,6.82
07/14/2012,16.01,0.32,2,0,0,33.46,6.83
07/13/2012,13.98,0.5,3.8,0.07,3.4,33.635,6.32
07/10/2012,12.05,0.8,6.7,0.16,8.3,33.796,5.52
07/03/2012,10.55,1.44,19,0.09,19.7,34.102,3.8
07/11/2012,10.28,1.65,23.5,0.09,22.3,33.977,3.11
07/12/2012,10.25,1.71,25,0.09,22.9,33.87,2.87
11/04/2012,10.15,1.77,26.9,0.07,23.9,33.897,2.72
11/03/2012,10,1.84,29.5,0.04,25.4,33.943,2.59
11/01/2012,9.61,1.95,34.6,0.08,27.9,34.036,2.27
11/02/2012,20.35,0.25,0,0,0.1,33.62,5.62
10/31/2012,20.35,0.25,0,0,0.1,33.62,5.62
10/30/2012,20.31,0.25,0,0.01,0.1,33.594,5.66
10/29/2012,20.3,0.25,0,0.01,0.1,33.59,5.67
11/05/2012,18.07,0.29,1.4,0.02,0.4,33.574,6.19
10/26/2012,11.06,1.29,17.2,0.37,15.9,33.532,4.34
10/25/2012,9.37,1.87,31.7,0.03,25.4,33.516,2.85
10/27/2012,9.15,1.98,34.8,0.02,26.5,33.536,2.61
10/28/2012,8.99,2.09,38.1,0.01,27.7,33.576,2.37
10/24/2012,19.03,0.16,0,0,0,33.66,5.42
10/23/2012,19.03,0.16,0,0,0,33.66,5.42
10/20/2012,18.99,0.14,0,0,0.1,33.66,5.54
10/19/2012,18.99,0.14,0,0,0.1,33.66,5.15
10/21/2012,17.2,0.23,1.1,0,0.1,33.648,5.64
10/22/2012,12.06,0.54,8.4,0.02,3.5,33.637,5.1
01/25/2013,10.6,0.88,16.7,0.01,10.8,33.681,4.07
01/24/2013,9.89,1.22,25.8,0.01,17,33.804,3.14
01/22/2013,9.38,1.41,32,0.03,19.8,33.97,2.67
01/23/2013,9.3,1.47,32.9,0.03,20.8,33.975,2.6
01/21/2013,9.08,1.69,35.4,0.01,24.2,33.998,2.41
01/20/2013,8.8,1.82,40.5,0.02,25.5,34.045,2.04
01/18/2013,18.48,0.23,1,0,0,33.58,5.61
01/19/2013,18.48,0.23,1,0,0,33.58,5.61
01/17/2013,18.49,0.23,0.1,0,0,33.589,5.39
01/16/2013,18.49,0.23,0,0,0,33.59,5.36
01/15/2013,17.13,0.33,0.6,0.04,0.9,33.592,5.34
01/14/2013,15.47,0.45,2.1,0.09,2.3,33.598,5.29
01/11/2013,11.93,0.73,7.6,0.15,5.8,33.624,5.07
01/12/2013,10.61,1.08,17.2,0.05,11.7,33.695,3.92
01/13/2013,9.81,1.53,27.1,0,18.2,33.833,2.97
04/23/2013,9.56,1.66,32,0,19.9,34.01,2.52
04/22/2013,9.48,1.71,33,0,20.3,34.014,2.44
04/20/2013,9.13,1.91,37.3,0.01,21.8,34.035,2.16
04/21/2013,8.83,2.08,43.2,0.02,25,34.079,1.83
04/16/2013,15.79,0.42,1,0,0,33.4,5.83
04/17/2013,15.79,0.42,1,0,0,33.4,5.83
04/19/2013,15.77,0.42,1,0,0,33.39,5.81
04/18/2013,15.75,0.42,1,0,0,33.389,5.81
04/10/2013,15.5,0.41,1,0,0,33.383,5.83
04/15/2013,15.26,0.4,1,0,0,33.382,5.84
04/09/2013,12.8,0.41,3.1,0.04,0.3,33.396,5.94
04/08/2013,10.43,0.72,10.6,0.06,8.1,33.455,5.01
04/11/2013,9.49,1.21,19.6,0.06,16.6,33.578,4.25
04/14/2013,9.45,1.23,21,0.06,17,33.62,4.15
04/13/2013,9.14,1.48,29.9,0.03,21,33.656,3.35
04/07/2013,8.97,1.6,38.4,0.05,23.4,33.704,2.62
04/12/2013,8.87,1.84,43,0.02,27.3,33.802,2.16
07/19/2013,16.89,0.45,2,0,0,33.16,5.86
07/18/2013,16.89,0.45,2,0,0,33.16,5.86
07/16/2013,16.42,0.45,1.1,0,0,33.168,5.91
07/17/2013,16.35,0.45,1,0,0,33.17,5.92
07/15/2013,16.08,0.45,1,0,0,33.198,5.97
07/14/2013,15.89,0.45,1,0,0,33.236,6.01
07/13/2013,15.88,0.45,1,0,0,33.24,6.01
07/20/2013,15.02,0.47,1.1,0,0,33.282,6.11
07/12/2013,12.46,0.61,4.4,0.3,2.4,33.34,5.9
07/21/2013,10.63,0.9,9.4,0,9,33.399,5.31
07/11/2013,9.62,1.3,18,0,16.4,33.3,4.61
07/10/2013,9.59,1.31,18.3,0,16.6,33.459,4.59
07/06/2013,9.25,1.43,23.6,0,19.3,33.52,4.24
07/07/2013,8.13,1.84,41.3,0,26.7,33.642,3.25
07/08/2013,17.49,0.4,1,0,0,33.23,5.6
07/09/2013,17.49,0.4,1,0,0,33.23,5.6
11/23/2013,17.19,0.4,1,0,0,33.23,5.61
11/22/2013,17.14,0.4,1,0,0,33.23,5.61
11/20/2013,17.08,0.41,1,0,0,33.223,5.62
11/24/2013,17.01,0.42,1,0,0,33.219,5.63
11/21/2013,14.56,0.42,1.7,0,0,33.22,6.07
11/19/2013,12.72,0.53,2.8,0.04,1.3,33.243,5.96
11/18/2013,11.73,0.75,5.3,0.05,4.8,33.292,5.5
11/25/2013,10.79,0.96,9,0.01,8.6,33.35,5.18
11/16/2013,10.53,1.05,10.9,0.01,10.3,33.362,4.98
11/17/2013,9.64,1.41,19.2,0.01,16.9,33.414,4.14
11/15/2013,8.77,1.74,30,0,23.1,33.522,3.24
11/14/2013,17,0.76,2,0.21,0,33.14,5.42
11/13/2013,17,0.76,2,0.21,0,33.14,5.42
11/12/2013,16.84,0.81,2.9,0.03,0,33.131,5.61
11/09/2013,16.82,0.82,3,0.01,0,33.13,5.64
11/10/2013,16.76,0.93,3,0.03,0,33.128,5.65
11/11/2013,16.69,1.01,3,0.06,0,33.13,5.66
02/05/2014,14.91,0.79,3,0.07,0,33.145,5.99
02/04/2014,12.94,0.74,4.1,0.07,0.9,33.191,5.94
02/03/2014,11.74,0.92,7.3,0.05,4.3,33.273,5.46
02/02/2014,10.99,1.21,13,0,8.8,33.37,4.98
02/01/2014,10.76,1.24,14.2,0,9.9,33.407,4.84
01/29/2014,9.72,1.4,21.1,0.01,15.3,33.579,4.15
01/30/2014,8.49,1.96,40.5,0.01,26,33.863,3
01/31/2014,21.19,0.23,0,0,0,33.78,5.5
04/16/2014,21.19,0.23,0,0,0,33.78,5.5
04/15/2014,21.15,0.23,0,0,0,33.78,5.52
04/13/2014,21.15,0.23,0,0,0,33.78,5.52
04/14/2014,18.77,0.29,0.9,0,0,33.743,6.1
04/12/2014,11.35,1.01,13.4,0.12,9.7,33.652,4.75
04/11/2014,10.66,1.33,19.9,0.04,13.8,33.651,3.88
04/10/2014,19.41,0.34,0,0,0,33.63,5.49
04/08/2014,19.41,0.34,0,0,0,33.63,5.49
04/17/2014,19.38,0.32,0,0,0,33.63,5.51
04/09/2014,19.38,0.32,0,0,0,33.63,5.51
04/07/2014,18.28,0.35,0.3,0,0,33.612,5.74
04/06/2014,16.57,0.41,0.9,0,0,33.595,5.98
04/05/2014,13.21,0.64,3,0.1,1.9,33.577,5.75
03/29/2014,10.9,1.12,12.2,0.08,8.6,33.597,4.67
04/02/2014,10.08,1.51,22,0.03,14.3,33.69,3.55
04/03/2014,9.76,1.65,27,0.03,16.6,33.84,3.11
04/04/2014,19.17,0.2,2,0,0,33.63,5.68
07/20/2014,17.73,0.23,2.5,0.01,0,33.572,6.03
07/18/2014,16.23,0.26,3,0.03,0,33.54,6.2
07/17/2014,11.5,0.93,11.8,0.13,9.5,33.552,4.91
07/19/2014,10.68,0.98,20,0.12,17.1,33.66,3.75
07/16/2014,10.6,1.04,20.9,0.09,17.7,33.679,3.73
07/21/2014,10.21,1.42,25.1,0.01,20.8,33.771,3.27
07/15/2014,9.8,1.65,31.1,0,24.6,33.865,2.8
07/13/2014,9.64,1.84,35,0,27.3,33.96,2.51
07/14/2014,9.55,1.84,36,0,28,34.07,2.46
07/12/2014,9.46,1.87,36,0,28.1,34.095,2.4
07/11/2014,9.44,1.88,36,0,28.1,34.1,2.39
07/10/2014,20.41,0.33,1,0,0,33.557,5.76
07/09/2014,15.31,0.39,2,0,0,33.451,7.1
07/06/2014,13.52,0.49,2.7,0,0,33.428,6.1
07/07/2014,13.23,0.54,3,0,0,33.416,6.18
07/08/2014,12.65,0.85,6.3,0.14,2.5,33.432,5.46
11/22/2014,11.34,1.5,16,0.38,13,33.501,4.02
11/21/2014,10.93,1.5,19,0.16,15.8,33.602,3.78
11/20/2014,10.79,1.64,21,0.13,17.4,33.817,3.47
11/19/2014,19.26,0.37,1,0,0,33.515,5.75
11/18/2014,19.26,0.37,1,0,0,33.515,5.75
11/17/2014,15.16,0.43,0.1,0,0,33.372,6.27
11/23/2014,14.55,0.44,0,0,0,33.367,6.34
11/15/2014,13.73,0.51,1.4,0.03,1,33.386,6.1
11/16/2014,12.82,0.64,2.8,0.09,3.2,33.408,5.83
11/14/2014,11.45,1.09,12,0.31,11.1,33.859,4.52
11/13/2014,10.9,1.58,21,0.08,17.2,33.512,3.39
11/12/2014,10.77,1.79,23.4,0.02,19.5,33.574,2.97
11/09/2014,10.63,1.85,24.7,0.02,20.6,33.639,2.91
11/08/2014,10.44,1.9,25.9,0.02,21.5,33.707,2.89
11/10/2014,10.22,2.14,31.6,0.01,24,33.853,2.32
11/11/2014,20.89,0.33,1,0,0,33.666,5.32
02/02/2015,20.37,0.22,0,0,0,33.685,5.5
02/01/2015,17.71,0.28,0.5,0,0,33.676,5.93
01/30/2015,10.85,1.32,16.5,0.05,14.8,33.752,4.19
01/31/2015,10.54,1.85,27.4,0.02,21.5,33.881,2.75
01/29/2015,10.49,1.98,30,0.02,22.6,33.946,2.41
01/28/2015,10.39,2.03,30.7,0.02,23,33.96,2.37
01/27/2015,10.22,2.1,31.8,0.02,23.6,33.982,2.31
01/26/2015,9.75,2.19,34.7,0.01,24.8,34.029,2.39
01/25/2015,18.43,0.11,1,0,0,33.464,5.83
01/24/2015,18.25,0.04,2,0,0,33.452,5.95
01/22/2015,15.6,0.19,3.8,0.04,0.7,33.423,5.91
01/23/2015,12.7,0.41,6,0.1,1.4,33.393,5.88
01/21/2015,10.98,1.09,16.6,0.07,14.1,33.481,4.04
01/20/2015,10.93,1.55,23.8,0.04,19.1,33.531,2.82
01/19/2015,10.74,1.67,26.7,0.04,20.7,33.583,2.55
01/16/2015,10.27,1.66,27.8,0.01,21.2,33.636,2.71
01/15/2015,10.02,1.76,34.4,0.03,24.3,33.747,2.11
01/17/2015,20.22,0.15,1,0,0,33.654,5.34
01/18/2015,20.22,0.15,1,0,0,33.654,5.34
04/19/2015,20.09,0.2,1,0,0,33.627,5.32
04/18/2015,19.26,0.21,1,0,0,33.567,5.51
04/17/2015,17.47,0.23,1.1,0,0,33.515,5.82
04/15/2015,12.7,0.42,4.1,0.03,1.3,33.441,6.07
04/16/2015,11.02,0.89,10.8,0.08,9.2,33.435,4.85
04/14/2015,10.13,1.16,17,0.02,14.2,33.571,4.23
04/13/2015,9.68,1.41,23.2,0.02,18,33.628,3.68
04/11/2015,9.54,1.66,28.9,0.02,20.8,33.686,3
04/12/2015,20.83,0.22,1,0,0,33.668,5.33
04/10/2015,20.83,0.22,1,0,0,33.668,5.33
04/09/2015,20.83,0.22,1,0.01,0,33.661,5.3
04/08/2015,20.83,0.22,1,0.01,0,33.66,5.3
04/04/2015,18,0.27,1,0.01,0,33.642,5.96
04/05/2015,11.56,1.05,11.4,0.19,10.4,33.629,4.78
04/06/2015,10.35,1.61,21,0.07,18.5,33.711,3.61
04/07/2015,10.27,2.09,29.9,0.03,23.3,33.934,2.61
07/19/2015,10.25,2.2,32,0.03,24.2,34.03,2.37
07/20/2015,10.26,2.28,34.6,0.02,25.6,34.042,2
07/21/2015,10.27,2.4,36,0.02,26.5,34.06,1.73
07/22/2015,16.72,0.17,6,0,0,33.434,6.43
07/23/2015,13.68,0.37,6,0.02,0,33.395,5.92
07/16/2015,13.2,0.59,8.7,0.15,2.4,33.437,5.36
07/17/2015,12.24,1.16,15,0.02,11.9,33.573,3.76
07/18/2015,11.72,1.42,18.5,0.02,14.3,33.673,3.15
07/24/2015,11.53,1.51,19.8,0.02,15.4,33.767,3.1
07/15/2015,11.44,1.58,21,0.02,16.2,33.855,2.99
07/14/2015,11.31,1.69,23.3,0.02,17,33.935,2.75
07/13/2015,10.75,2.03,30.6,0.01,19.6,34.071,2.03
07/08/2015,20.16,0.17,1,0.01,0,33.56,5.52
07/09/2015,20.16,0.17,1,0.01,0,33.56,5.52
07/11/2015,20.16,0.15,1,0.02,0,33.552,5.56
07/12/2015,19.03,0.19,1.5,0.02,0,33.483,5.72
07/12/2015,17.35,0.24,2,0.01,0,33.426,5.9
11/08/2015,17.1,0.24,2,0.01,0,33.427,5.93
11/07/2015,13.03,0.35,2.4,0.05,0.5,33.445,6.12
11/05/2015,11.78,0.69,6.5,0.28,3.9,33.472,5.35
11/06/2015,10.59,1.2,13.7,0.24,7.8,33.504,4.49
11/04/2015,9.86,1.4,18.6,0.13,11.5,33.542,4.05
11/09/2015,9.62,1.58,23.5,0,14.8,33.584,3.53
11/10/2015,18.65,0.2,3,0.01,0,33.459,5.97
11/03/2015,17.96,0.17,4,0.01,0,33.424,6.17
11/12/2015,17.01,0.21,4.6,0.01,0,33.396,6.07
11/11/2015,15.78,0.31,5,0.02,0,33.384,5.98
11/02/2015,11.5,0.87,8.4,0.12,7,33.44,4.95
11/01/2015,10.49,1.17,14.2,0.06,11.7,33.476,4.4
10/31/2015,9.73,1.55,22.8,0.04,16.4,33.517,3.79
10/31/2015,9.3,1.87,31.1,0.03,19.9,33.561,3.27
10/29/2015,8.88,2.04,37.5,0.03,22.1,33.663,2.59
10/30/2015,19.31,0.24,2,0.02,0,33.456,5.24
01/24/2016,19.31,0.24,2,0.02,0,33.456,5.24
01/23/2016,19.3,0.24,2,0.03,0,33.46,5.36
01/22/2016,19.3,0.24,2,0.03,0,33.46,5.38
01/21/2016,18.53,0.23,1.5,0.03,0,33.447,5.54
01/20/2016,15.63,0.26,1,0.04,0,33.444,5.97
01/19/2016,15.48,0.26,1,0.04,0,33.445,5.95
01/18/2016,13.78,0.36,2.8,0.05,0,33.465,5.75
01/17/2016,11.84,0.7,7.8,0.08,4.6,33.489,5.08
01/16/2016,10.67,0.98,12.1,0.07,8,33.518,4.68
01/14/2016,10.03,1.2,16.6,0.06,10.3,33.552,4.44
01/15/2016,19.68,0.17,1,0,0,33.411,5.17
01/13/2016,19.5,0.17,1,0,0,33.41,5.37
01/12/2016,19.44,0.2,1.5,0,0,33.393,5.38
01/11/2016,19.38,0.22,2,0,0,33.387,5.39
01/07/2016,14.7,0.24,1.9,0,0,33.358,5.91
01/08/2016,13.03,0.43,3.9,0.06,1.6,33.354,5.5
01/09/2016,11.67,0.77,9.1,0.06,5.8,33.36,4.81
01/10/2016,10.65,1.14,16.1,0.02,10.8,33.376,4.11
04/13/2016,9.26,1.55,28.3,0.01,16.1,33.438,3.6
04/14/2016,19.87,0.33,2,0,0,33.459,5.32
04/16/2016,19.87,0.33,2,0,0,33.459,5.32
04/15/2016,19.85,0.35,2,0,0,33.458,5.33
04/12/2016,19.85,0.35,2,0,0,33.458,5.33
04/08/2016,19.05,0.34,1.5,0,0,33.384,5.43
04/11/2016,17.81,0.33,1,0,0,33.287,5.6
04/10/2016,15.57,0.28,1,0,0,33.3,5.95
04/07/2016,13.26,0.33,1.8,0,0,33.323,5.89
04/09/2016,12.36,0.5,4,0,1.5,33.351,5.46
04/06/2016,11.39,0.81,8.7,0,5.6,33.386,4.88
04/05/2016,18.5,0.26,1,0,0,33.346,5.5
04/04/2016,18.5,0.24,1,0,0,33.352,5.5
04/02/2016,18.14,0.25,1,0,0,33.311,5.54
04/01/2016,17.36,0.26,1,0,0,33.267,5.67
04/03/2016,14.86,0.24,1,0.01,0,33.192,6.13
07/26/2016,14.77,0.24,1,0.01,0,33.193,6.12
07/25/2016,13.1,0.28,1.9,0.01,0,33.233,5.92
07/22/2016,11.83,0.46,4.6,0.06,2.3,33.277,5.59
07/23/2016,10.72,0.69,10.5,0.05,5.2,33.326,4.96
07/24/2016,9.81,0.96,18.3,0.01,8.2,33.378,4.19
07/21/2016,8.84,1.75,32.7,0.13,16.9,33.497,3.08
07/20/2016,17.44,0.24,4,0,0,33.414,5.92
07/17/2016,16.22,0.28,5,0.01,0,33.426,6.05
07/18/2016,15.39,0.3,4.5,0.09,0.1,33.395,5.93
07/19/2016,14.7,0.31,4,0.16,0.2,33.348,5.77
07/16/2016,11.64,0.55,5.2,0.1,4.9,33.436,5.45
07/15/2016,10.64,0.81,10,0.07,9.3,33.488,4.98
07/14/2016,10.01,1.08,15.9,0.03,13.4,33.543,4.45
07/11/2016,9.59,1.36,22,0.02,17.2,33.601,3.87
07/10/2016,9,1.71,32,0.02,21.3,33.725,3.15
07/12/2016,19.82,0.15,1,0,0,33.536,5.34
07/13/2016,19.75,0.13,1,0,0,33.532,5.35
11/21/2016,17.74,0.17,1.5,0,0,33.436,5.7
11/20/2016,14.09,0.24,2,0,0,33.174,6.09
11/19/2016,12.37,0.43,4.5,0.14,1.9,33.229,5.68
11/18/2016,11.44,0.75,9.8,0.12,7.8,33.286,4.95
11/17/2016,10.76,1.16,17.7,0.08,14.6,33.346,4.05
11/16/2016,10.18,1.55,26,0.04,20.1,33.41,3.19
11/15/2016,9.75,1.94,35.5,0.06,24.6,33.545,2.26
11/13/2016,19.58,0.17,2,0.01,0,33.498,5.4
11/14/2016,19.58,0.17,2,0.01,0,33.498,5.4
11/12/2016,19.58,0.17,2,0.01,0,33.494,5.41
11/11/2016,19.57,0.16,2,0.01,0,33.452,5.4
11/10/2016,19.39,0.15,2,0.01,0,33.412,5.43
11/07/2016,15.06,0.27,3,0.1,0,33.373,5.93
11/06/2016,14.81,0.28,3,0.1,0,33.374,5.95
11/08/2016,11.98,0.76,10.1,0.13,9.1,33.415,4.63
11/09/2016,10.8,1.17,17.4,0.11,16.3,33.461,3.57
01/20/2017,10.27,1.4,23.3,0.08,20,33.511,3.12
01/19/2017,9.82,1.56,28.4,0.07,22.7,33.563,2.78
01/18/2017,9.23,1.77,35.5,0.09,25.1,33.679,2.38
01/17/2017,20.82,0.17,2,0,0,33.64,5.27
01/16/2017,20.82,0.17,2,0,0,33.64,5.27
01/15/2017,20.81,0.15,2,0,0,33.636,5.3
01/14/2017,20.81,0.15,2,0,0,33.636,5.3
01/12/2017,20.81,0.16,2,0,0,33.633,5.3
01/13/2017,20.82,0.17,2,0,0,33.632,5.31
01/11/2017,20.82,0.17,2,0,0,33.632,5.31
01/10/2017,11.77,0.73,9.6,0.03,8.7,33.634,5.02
01/09/2017,10.53,1.17,17.4,0.03,16,33.641,3.84
01/06/2017,9.94,1.42,23.2,0.03,19.8,33.652,3.37
01/07/2017,9.48,1.55,27.3,0.02,21.8,33.669,3.21
01/08/2017,8.75,1.77,35.2,0.04,25.2,33.722,2.74
04/20/2017,20.4,0.26,1,0,0,33.553,5.43
04/19/2017,20.4,0.26,1,0,0,33.553,5.43
04/18/2017,20.39,0.24,1.9,0,0,33.537,5.45
04/15/2017,20.39,0.24,2,0,0,33.535,5.45
04/17/2017,19.8,0.24,1.7,0,0,33.489,5.53
04/16/2017,18.7,0.24,1,0,0,33.437,5.69
04/13/2017,15.81,0.24,1,0,0,33.636,6.22
04/14/2017,15.1,0.32,1.9,0,0,33.86,6.08
04/12/2017,13.74,0.42,3.3,0.1,0.8,34.055,5.73
04/10/2017,11.85,0.79,9.2,0.09,4.2,34.222,4.99
04/11/2017,10.19,1.25,17.2,0.01,8.9,34.361,4.19
04/11/2017,21.13,0.28,5,0.03,0,33.717,5.23
04/09/2017,19.91,0.24,5,0.02,0,33.631,5.38
04/08/2017,17.5,0.28,3.6,0.01,0,33.568,5.69
04/07/2017,15.21,0.32,3.2,0.01,0,33.544,5.75
04/05/2017,13.72,0.57,9,0.04,0.9,33.6,4.45
04/06/2017,13.66,0.57,9.2,0.04,1,33.604,4.41
04/04/2017,12.52,0.64,13.6,0.03,5.6,33.709,3.8
04/03/2017,12.01,0.91,18.7,0.11,9.7,33.819,3.15
04/02/2017,11.61,1.4,24.3,0.11,15.1,33.933,2.46
03/29/2017,11.18,1.92,30,0.06,20.3,34.052,1.87
03/30/2017,10.18,2.27,40,0.15,22,34.266,1.32
03/31/2017,20.92,0.17,6,0.05,0,33.68,5
04/01/2017,20.92,0.15,6,0.06,0,33.679,5.01
08/14/2017,20.92,0.13,6,0.06,0,33.683,5
08/13/2017,20.9,0.14,6,0.11,0,33.682,4.99
08/13/2017,19.7,0.33,6,1.02,1,33.625,4.68
08/15/2017,19.52,0.34,6,0.98,1.2,33.618,4.68
08/11/2017,15.14,0.68,7,0.07,5.7,33.566,4.59
08/12/2017,20.68,0.2,2,0,0.2,33.557,5.23
08/16/2017,20.68,0.2,2,0,0.2,33.557,5.23
08/10/2017,20.68,0.14,2,0,0,33.553,5.21
08/07/2017,20.68,0.13,2,0,0,33.553,5.21
08/08/2017,20.25,0.13,2,0,0,33.492,5.33
08/09/2017,19.77,0.13,2,0,0,33.423,5.47
08/06/2017,15.79,0.16,2.2,0,0,33.309,6.06
08/05/2017,15.17,0.17,2,0,0,33.294,6.12
08/04/2017,13.7,0.19,6.8,0.04,0.4,33.32,5.91
08/01/2017,12.16,0.42,5.6,0.12,5.4,33.356,5.3
08/02/2017,10.98,0.96,13.1,0.01,16.3,33.394,4.43
08/03/2017,10.29,1.35,21.1,0,24.8,33.435,3.61
11/21/2017,9.28,1.81,35,0,33.8,33.525,2.58
11/20/2017,20.75,0.04,1,0,0,33.665,5.2
11/19/2017,20.75,0.09,1,0,0,33.664,5.21
11/18/2017,20.75,0.09,1,0,0,33.626,5.22
11/17/2017,17.44,0.12,1,0,0,33.505,5.91
11/22/2017,17.19,0.09,1,0,0,33.492,5.94
11/16/2017,15.59,0.08,1.1,0,0,33.504,5.94
11/15/2017,13.6,0.19,2.3,0,0.4,33.521,5.48
11/24/2017,12.06,0.44,6.3,0,5,33.542,4.84
11/23/2017,10.71,0.79,13,0.03,11.5,33.567,4.16
11/14/2017,9.88,1.28,23.9,0.01,18.6,33.628,2.86
11/13/2017,21.74,0.07,1,0,0,33.931,5.12
11/12/2017,21.72,0.02,0,0,0,33.938,5.12
11/09/2017,21.66,0.11,0.3,0,0,33.907,5.13
11/10/2017,21.51,0.2,1,0,0,33.873,5.16
11/11/2017,19.25,0.11,1,0,0,33.803,5.62
02/09/2018,17.21,0,0,0,0,33.754,5.84
02/10/2018,16.67,0.04,0.3,0,0,33.753,5.83
02/08/2018,15.07,0.05,1.2,0,0,33.751,5.52
02/06/2018,12.29,0.37,6.2,0,4.3,33.754,4.65
02/07/2018,10.86,0.41,11.4,0,6,33.761,3.95
02/05/2018,21.92,0,1,0,0,33.842,5.09
02/04/2018,21.92,0,1,0,0,33.842,5.09
02/02/2018,21.89,0.02,1,0,0,33.837,5.09
02/03/2018,21.89,0.02,1,0,0,33.837,5.09
02/01/2018,21.88,0.1,1,0,0,33.771,5.09
04/21/2018,17.51,0.11,1,0,0.2,33.536,6.02
04/22/2018,17.2,0.11,1,0,0.2,33.51,6.05
04/20/2018,15.81,0.2,1.2,0,0,33.521,5.91
04/20/2018,13.2,0.34,4.5,0,0,33.537,5.33
04/19/2018,11.59,0.33,13.5,0,0,33.557,4.35
04/19/2018,10.82,0.21,16,0,1.9,33.581,3.61
04/18/2018,23.95,0.17,1,0,0,34.252,4.93
04/17/2018,23.95,0.17,1,0,0,34.252,4.93
04/16/2018,23.69,0.21,1,0,0,34.239,5.01
04/16/2018,23.65,0.22,1,0,0,34.237,5.02
04/15/2018,23.31,0.22,1,0,0,34.223,5.02
04/12/2018,23.27,0.22,1,0,0,34.221,5.02
04/11/2018,22.74,0.16,1,0,0,34.201,5.04
04/11/2018,22.66,0.15,1,0,0,34.198,5.04
04/13/2018,19.62,0.25,2,0.38,0.6,34.102,4.82
04/14/2018,19.46,0.26,2,0.4,0.6,34.1,4.81
04/10/2018,22.33,0.17,1,0,0,33.973,5.12
04/10/2018,22.33,0.17,1,0,0,33.973,5.12
04/09/2018,22.32,0.2,1,0,0,33.996,5.14
04/08/2018,22.32,0.2,1,0,0,33.999,5.14
04/08/2018,21.71,0.21,1.5,0,0,34.014,5.23
04/08/2018,21.03,0.22,2,0,0,34.038,5.34
04/06/2018,17.83,0.78,7,0.33,5.9,34.136,4.04
04/05/2018,15.73,1.43,14.6,0.06,15.5,34.117,2.49
04/07/2018,14.38,1.95,23.2,0.08,23.2,34.103,1.7
04/07/2018,12.94,2.07,27.2,0.04,24.5,34.093,1.41
06/23/2018,11.69,2.19,32.1,0.04,26.1,34.088,1.34
